"","Region","Year","Inflation"
"152","Asia and Pacific","2010",4.3
"153","Europe","2010",2.8
"154","Middle East (Region)","2010",5.4
"155","Western Hemisphere (Region)","2010",2.4
"156","Africa (Region)","2011",8.9
"157","Asia and Pacific","2011",5.6
"158","Europe","2011",4.2
"159","Middle East (Region)","2011",8.3
"160","Western Hemisphere (Region)","2011",3.7
"161","Africa (Region)","2012",8.9
"162","Asia and Pacific","2012",4.1
"163","Europe","2012",3.2
"164","Middle East (Region)","2012",9
"165","Western Hemisphere (Region)","2012",2.8
"166","Africa (Region)","2013",6.6
"167","Asia and Pacific","2013",4
"168","Europe","2013",2.4
"169","Middle East (Region)","2013",9.3
"170","Western Hemisphere (Region)","2013",2.3
"171","Africa (Region)","2014",7.1
"172","Asia and Pacific","2014",3.6
"173","Europe","2014",2
"174","Middle East (Region)","2014",5.2
"175","Western Hemisphere (Region)","2014",2.6
"176","Africa (Region)","2015",7.4
"177","Asia and Pacific","2015",2.6
"178","Europe","2015",2.9
"179","Middle East (Region)","2015",4
"180","Western Hemisphere (Region)","2015",1.6
"181","Africa (Region)","2016",9.9
"182","Asia and Pacific","2016",2.7
"183","Europe","2016",1.5
"184","Middle East (Region)","2016",3.6
"185","Western Hemisphere (Region)","2016",2.4
"186","Africa (Region)","2017",12.7
"187","Asia and Pacific","2017",2.7
"188","Europe","2017",2.2
"189","Middle East (Region)","2017",2.9
"190","Western Hemisphere (Region)","2017",3.4
"191","Africa (Region)","2018",11.3
"192","Asia and Pacific","2018",3
"193","Europe","2018",2.2
"194","Middle East (Region)","2018",8.4
"195","Western Hemisphere (Region)","2018",3.7
"196","Africa (Region)","2019",9
"197","Asia and Pacific","2019",3.4
"198","Europe","2019",2
"199","Middle East (Region)","2019",6.3
"200","Western Hemisphere (Region)","2019",3.5
"201","Africa (Region)","2020",10.6
"202","Asia and Pacific","2020",3.2
"203","Europe","2020",1.1
"204","Middle East (Region)","2020",9.8
"205","Western Hemisphere (Region)","2020",2.7
"206","Africa (Region)","2021",12.8
"207","Asia and Pacific","2021",3
"208","Europe","2021",3.5
"209","Middle East (Region)","2021",12.1
"210","Western Hemisphere (Region)","2021",6.1
"211","Africa (Region)","2022",14.3
"212","Asia and Pacific","2022",6.6
"213","Europe","2022",9.9
"214","Middle East (Region)","2022",14.5
"215","Western Hemisphere (Region)","2022",9.7
"216","Africa (Region)","2023",15.5
"217","Asia and Pacific","2023",5.8
"218","Europe","2023",6.6
"219","Middle East (Region)","2023",12.6
"220","Western Hemisphere (Region)","2023",7
"221","Africa (Region)","2024",12.1
"222","Asia and Pacific","2024",4.6
"223","Europe","2024",3.6
"224","Middle East (Region)","2024",8.8
"225","Western Hemisphere (Region)","2024",4.3
"226","Africa (Region)","2025",8.9
"227","Asia and Pacific","2025",3.8
"228","Europe","2025",2.7
"229","Middle East (Region)","2025",7.4
"230","Western Hemisphere (Region)","2025",3.5
"231","Africa (Region)","2026",7.7
"232","Asia and Pacific","2026",3.5
"233","Europe","2026",2.4
"234","Middle East (Region)","2026",7.1
"235","Western Hemisphere (Region)","2026",3.3
"236","Africa (Region)","2027",7.3
"237","Asia and Pacific","2027",3.5
"238","Europe","2027",2.3
"239","Middle East (Region)","2027",7
"240","Western Hemisphere (Region)","2027",3.2
"241","Africa (Region)","2028",6.6
"242","Asia and Pacific","2028",3.5
"243","Europe","2028",2.3
"244","Middle East (Region)","2028",6.9
"245","Western Hemisphere (Region)","2028",3.1
